{'interval':0.1}
{'dc_yr': 7, 'dc_xl': 0, 'dc_yl': -7, 'dc_xr': 0, 'time': 1542091442.075764}
{'dc_yr': 7, 'dc_xl': 0, 'dc_yl': -7, 'dc_xr': 0, 'time': 1542091442.229686}
{'dc_yr': 7, 'dc_xl': 0, 'dc_yl': -7, 'dc_xr': 0, 'time': 1542091442.233608}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': -7, 'dc_xr': 0, 'time': 1542091442.237174}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.240695}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.395438}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.399213}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.402794}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091442.406313}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091442.560521}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091442.564514}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091442.568073}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.571585}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.726209}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.729995}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.733581}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.737151}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.891866}
{'dc_yr': -5, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.89557}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 5, 'dc_xr': 0, 'time': 1542091442.899157}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091442.902686}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091443.056922}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091443.060661}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091443.064331}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091443.067916}
