{'lipoC2': 7.78, 'temp': 29.81, 'lipoC3S3': 12.17, 'rot1': 30, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.288034', 'mgs': 0, 'depth': -1.285, 'time': 3.89, 'pitch': 1.24, 'roll': 1.14}
{'lipoC2': 7.78, 'temp': 29.81, 'lipoC3S3': 12.17, 'rot1': 39, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.385828', 'mgs': 0, 'depth': -0.751, 'time': 3.99, 'pitch': 1.24, 'roll': 1.17}
{'lipoC2': 7.78, 'temp': 29.81, 'lipoC3S3': 12.17, 'rot1': 48, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.484251', 'mgs': 0, 'depth': -0.827, 'time': 4.09, 'pitch': 1.24, 'roll': 1.12}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.1, 'rot1': 57, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.581343', 'mgs': 0, 'depth': -0.827, 'time': 4.18, 'pitch': 1.23, 'roll': 1.17}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.17, 'rot1': 66, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.679050', 'mgs': 0, 'depth': -0.751, 'time': 4.28, 'pitch': 1.22, 'roll': 1.15}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.08, 'rot1': 75, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.777020', 'mgs': 0, 'depth': -0.827, 'time': 4.38, 'pitch': 1.21, 'roll': 1.15}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.17, 'rot1': 84, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.874839', 'mgs': 0, 'depth': -0.751, 'time': 4.48, 'pitch': 1.21, 'roll': 1.13}
{'lipoC2': 7.79, 'temp': 29.88, 'lipoC3S3': 12.14, 'rot1': 93, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 21:01:31.971263', 'mgs': 0, 'depth': -1.514, 'time': 4.57, 'pitch': 1.2, 'roll': 1.15}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.08, 'rot1': 102, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:32.068709', 'mgs': 0, 'depth': -0.827, 'time': 4.67, 'pitch': 1.2, 'roll': 1.14}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.09, 'rot1': 111, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:32.167282', 'mgs': 0, 'depth': -0.827, 'time': 4.77, 'pitch': 1.19, 'roll': 1.18}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.08, 'rot1': 120, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:32.265736', 'mgs': 0, 'depth': -0.827, 'time': 4.87, 'pitch': 1.19, 'roll': 1.15}
