{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:27.247798', 'mgs': 0, 'depth': -0.064, 'time': 7.03, 'pitch': 0.76, 'roll': -3.59}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:27.346169', 'mgs': 0, 'depth': -0.064, 'time': 7.13, 'pitch': 0.8, 'roll': -3.73}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 18:43:27.444519', 'mgs': 0, 'depth': -0.064, 'time': 7.22, 'pitch': 0.81, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 18:43:27.541625', 'mgs': 0, 'depth': -0.064, 'time': 7.32, 'pitch': 0.8, 'roll': -3.71}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 18:43:27.638714', 'mgs': 0, 'depth': -0.064, 'time': 7.42, 'pitch': 0.81, 'roll': -3.68}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:27.735738', 'mgs': 0, 'depth': -0.064, 'time': 7.52, 'pitch': 0.8, 'roll': -3.73}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:27.835619', 'mgs': 0, 'depth': -0.14, 'time': 7.61, 'pitch': 0.78, 'roll': -3.71}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 18:43:27.933424', 'mgs': 0, 'depth': -0.14, 'time': 7.71, 'pitch': 0.75, 'roll': -3.62}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:28.030480', 'mgs': 0, 'depth': -0.217, 'time': 7.81, 'pitch': 0.75, 'roll': -3.64}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-12 18:43:28.128243', 'mgs': 0, 'depth': -0.14, 'time': 7.91, 'pitch': 0.78, 'roll': -3.69}
