{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.206919', 'mgs': 0, 'depth': -0.293, 'time': 3.79, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.214137', 'mgs': 0, 'depth': -0.293, 'time': 3.89, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.225847', 'mgs': 0, 'depth': -0.293, 'time': 3.99, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.233075', 'mgs': 0, 'depth': -0.293, 'time': 4.09, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.244801', 'mgs': 0, 'depth': -0.293, 'time': 4.18, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.252037', 'mgs': 0, 'depth': -0.369, 'time': 4.28, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.263774', 'mgs': 0, 'depth': -0.293, 'time': 4.38, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.271010', 'mgs': 0, 'depth': -0.369, 'time': 4.47, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.282741', 'mgs': 0, 'depth': -0.293, 'time': 4.57, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.52, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 15:40:47.289965', 'mgs': 0, 'depth': -0.369, 'time': 4.67, 'pitch': -3.43, 'roll': -2.58}
